# audio_envelope_dense_sentence.csv — dense (~25 Hz) RMS-envelope telemetry
#
# Source: live capture, duck INMP441 mic over ESP-NOW, session 2026-06-09.
#   One short spoken sentence then silence — thin CONTENT (one burst + long quiet
#   tail) but full TEMPORAL resolution. Use this to develop onset/transient logic;
#   use audio_envelope_profile.csv for energy tiers / dynamic range.
#
# Domain : RMS in the 24-bit sample domain (rawI2S >> 8). Already DECODED from the
#          companded bytes (RMS_FS = 200000). Silence floor ~2400, sentence peak ~37000.
# Rate   : ~25 Hz, one row per audio packet (40 ms window). t is device millis().
t_ms,rms_mean,rms_max
28661,5955,8317
28681,5955,6508
28749,4921,4921
28762,5426,5955
28799,3768,4678
28844,6228,6508
28900,4441,4921
28930,3349,3349
28958,4211,5170
29018,5955,6228
29046,3349,3556
29141,2956,3556
29150,4211,4678
29158,3349,3556
29201,4678,6508
29246,3986,5170
29291,5955,5955
29320,5955,7087
29408,3986,4678
29414,3986,4211
29506,8640,11823
29526,23819,26602
29563,37216,38582
29606,36543,38582
29654,30757,30757
29682,27759,30145
29742,23819,24363
29764,19196,20180
29830,17765,18236
29846,17301,17765
29916,16843,18236
29927,15505,15505
29981,15071,16391
30010,14644,15945
30045,13807,15505
30099,12598,13398
30126,11823,15071
30194,9304,12598
30202,10707,13398
30246,12598,14222
30283,7385,9646
30327,5170,5426
30371,6228,6794
30408,9304,11445
30458,9993,10347
30499,6794,8317
30549,7087,8317
30564,7385,7689
30603,5426,5687
30646,20681,21702
30684,23280,25470
30735,27759,30757
30765,21702,24913
30823,7689,8969
30846,5955,7689
30948,5687,6508
30963,4678,4921
31035,4678,5426
31076,4211,4678
31097,9646,13398
31121,17765,18713
31180,15945,15945
31201,6794,10707
31276,4211,4921
31283,4441,5426
31357,14644,15505
31363,13807,13807
31409,15071,16843
31453,15071,15945
31486,13807,14222
31541,12208,12995
31582,13398,14222
31629,12598,12995
31649,17301,18713
31716,11823,15945
31733,8000,9304
31767,5955,6794
31813,5955,6794
31849,4441,4678
31902,4441,5426
31929,4921,5955
31990,2587,3150
32005,4211,4441
32104,3556,3768
32125,4921,5955
32178,5170,5687
32207,6794,7689
32258,3986,4678
32287,5426,5687
